Hex	Tile
-- Numbers --
00 	Black
01	Number 0
02	Number 1
03	Number 2
04	Number 3
05	Number 4
06	Number 5
07	Number 6
08	Number 7
09	Number 8
0A	Number 9
-- Player --
0B	Player Left
0C	Player Right
0D	Player Down
0E	Player Up
-- Environment --
0F	Standard ground
10	Rock
11	Silver Rock
12	Gold Rock
13	Ruby Rock
-- Menu --
14 	Drill icon
15 	Peng icon
16 	Drill UP icon
17 	Icon template

-- Shop --
1A 	Shop floor		UNUSED
1B	Vertical wall
1C	Horziontal wall bottom
1D	Horizontal wall bottom right edge
1E	Horizontal wall bottom left edge
1F	Horizontal wall top
20	Horizontal wall top right edge
21	Horizontal wall top left edge
22	Corner wall bottom left
23	Corner wall bottom right
24	Corner wall top left
25	Corner wall top right

-- Cracked Rocks --
3C 	Cracked rock
3D 	Cracked Silver
3E 	Cracked Gold
3F 	Cracked Ruby
